user_id,review_count,skin_type,age,rating,review,morphed_review
빨개요R,35,지성,25,2,세정력은 중간인데 눈에 들어가면 마이아이즈!!! 하면서 욕나온다,세/MM 정력/NNG 은/JX 중간/NNG 이/VCP ㄴ데/EC 눈/NNG 에/JKB 들어가/VV 면/EC 마이/NNG 아이즈/NNG !/SF !/SF !/SF 하/VV 면서/EC 욕/NNG 나오/VV ㄴ다/EC 
zzan_mi,20,복합성,20,3,좋긴한데 엄청난 세정력을 갖고 있진 않음..,좋/VA 기/ETN ㄴ/JX 하/VV ㄴ데/EC 엄청나/VA ㄴ/ETM 세/MM 정력/NNG 을/JKO 갖/VV 고/EC 있/VV 지/EC ㄴ/JX 않/VX 음/ETN ./SF ./SF 
뭉뭉뿌,33,복합성,23,3,친구가 괜찮대서 샀는데 세일할때 사면 정말 괜찮긴해요 근데 눈에 들어가면 넘나 따갑ㅠㅠ 지워지긴 잘지워져요,친구/NNG 가/JKS 괜찮/VA 대서/EC 사/VV 았/EP 는데/EC 세일/NNG 하/XSV ㄹ/ETM 때/NNG 사면/NNG 정말/MAG 괜찮/VA 기/ETN ㄴ/JX 하/VV 아요/EC 근데/MAJ 눈/NNG 에/JKB 들어가/VV 면/EC 넘/VV 나/EC 따가뷰ㅠ/NA 지우/VV 어/EC 지/VX 기/ETN ㄴ/JX 잘/MAG 지우/VV 어/EC 지/VX 어요/EC 
룰루리아,61,지성,23,3,나쁘지도 않고 딱히 좋지도 않은 제품이었어요 근데 눈에 들어가면 이건 저어어어어엉말 따갑습니다 :(,나쁘/VA 지/EC 도/JX 않/VX 고/EC 딱히/MAG 좋/VA 지/EC 도/JX 않/VX 은/ETM 제품/NNG 이/VCP 었/EP 어요/EC 근데/MAJ 눈/NNG 에/JKB 들어가/VV 면/EC 이것/NP ㄴ/JX 저어/IC 어/IC 어어/IC 엉/IC 말/NNB 따갑/VA 습니다/EC :/SP (/SS 
소은2,194,건성,25,2,"전 이거 잘안지워지던데요..
예전에 괜찮다해서 구매했는데 억지로 사용했네요
다시 구매 절대 안할 것 같아요
같은 라인 제품도 구매하기 꺼려지네요",전/MM 이것/NP 잘/MAG 안/MAG 지우/VV 어/EC 지/VX 던데요/EF ./SF ./SF 예전/NNG 에/JKB 괜찮/VA 다/EC 하/VX 아서/EC 구매/NNG 하/XSV 았/EP 는데/EC 억지로/MAG 사용/NNG 하/XSV 았/EP 네요/EC 다시/MAG 구매/NNG 절대/NNG 안/NNG 하/XSV ㄹ/ETM 것/NNB 같/VA 아요/EC 같/VA 은/ETM 라인/NNG 제품/NNG 도/JX 구매/NNG 하/XSV 기/ETN 꺼리/VV 어/EC 지/VX 네요/EC 
fmsmalzb,86,복합성,21,3,세정력은 괜찮은 것 같은데 눈에 들어가면 진짜 따가워요ㅋㅋㅋ 그치만 50퍼 할때 내가 다섯개나 샀으니... 이겨내고 써야죠ㅋㅋㅋ,세/MM 정력/NNG 은/JX 괜찮/VA 은/ETM 것/NNB 같/VA 은데/EC 눈/NNG 에/JKB 들어가/VV 면/EC 진짜/MAG 따가워욬ㅋㅋ/NA 그치/NP 만/JX 50/SN 푸/VV 어/EC 하/VV ㄹ/ETM 때/NNG 내/NP 가/JKS 다섯/NR 개/NNB 나/JX 사/VV 았/EP 으니/EC .../SE 이기/VV 어/EC 내/VX 고/EC 써야죸ㅋㅋ/NA 
bnv01,74,중성,19,2,잘지워지는데 나는 개인적으러 이거로 지우면 눈주변이 엄청 따가웟음,잘/MAG 지우/VV 어/EC 지/VX 는데/EC 나/NP 는/JX 개인/NNG 적/VA 으러/EC 이것/NP 로/JKB 지우/VV 면/EC 눈/NNG 주변/NNG 이/JKS 엄청/MAG 따갑/VA 엇/EP 음/ETN 
마이네임슈,19,민감성,26,4,이것보다 스킨푸드가 더 순하고 좋아요,이것/NP 보다/JKB 스킨푸드/NNP 가/JKS 더/MAG 순하/VA 고/EC 좋/VA 아요/EC 
바나나맛서울우유,12,복합성,16,4,"세정력이 되게 좋아요!
근데 눈에 들어가면 따가워서ㅠㅜ
어쨌ㄴ든 세정력은 정말 좋습니다ㅇ!!!",세/MM 정력/NNG 이/JKS 되/VV 게/EC 좋/VA 아요/EF !/SF 근데/MAJ 눈/NNG 에/JKB 들어가/VV 면/EC 세/MM 정력/NNG 은/JX 정말/MAG 좋습니당!!!/NA 
아를르,45,복합성,22,3,"에뛰드 마스카라 잘 지워졌어요.
처음엔 눈이 안따가웠는데 어느순간부터 따갑기 시작했어요.
가격은 원플원 세일 자주해서 괜찮은 편이에요.
재구매의사는 없어요. 눈이 따가워서 다른제품 찾을려구요.",에뛰드/NNP 마스카라/NNG 잘/MAG 지우/VV 어/EC 지/VX 었/EP 어요/EF ./SF 처음/NNG 에/JKB ㄴ/JX 눈/NNG 이/JKS 안/MAG 따갑/VA 었/EP 는데/EC 어느/MM 순간/NNG 부터/JX 따갑/VA 기/ETN 시작/NNG 하/XSV 았/EP 어요/EF ./SF 가격/NNG 은/JX 원/NNB 프/VX ㄹ/ETM 원/NNB 세일/NNG 자주/MAG 하/XSV 아서/EC 괜찮/VA 은/ETM 편/NNB 이/VCP 에요/EF ./SF 재/XPN 구매/NNG 의사/NNG 는/JX 없/VA 어요/EF ./SF 눈/NNG 이/JKS 따갑/VA 어서/EC 다른/MM 제품/NNG 찾/VV 을려구/EC 요/JX ./SF 
썬방,10,민감성,32,4,립앤아이 리무버로 두통째 사용중!! 오일층 섞어 사용하면 잘 지워지고 눈 따갑거나 자극적이지 않아서 좋아요-!!,립/NNG 앤/NNG 아이/NNG 리무버/NNG 로/JKB 두통/NNG 째/XSN 사용/NNG 중/NNB !/SF !/SF 오일/NNG 층/XSN 섞/VV 어/EC 사용/NNG 하/XSV 면/EC 잘/MAG 지우/VV 어/EC 지/VX 고/EC 눈/NNG 따갑/VA 거나/EC 자극/NNG 적/XSN 이/VCP 지/EC 않/VX 아서/EC 좋/VA 아요/EC -/SS !/SF !/SF 
이하영,143,건성,23,4,"대용량 원쁠원때 구매해서 거의 다 썼어요 엄청 좋은거는 모르겠고 그냥 무난한데 눈에 많이 들어가면 따가워요!! ㅜㅜ 그래서 조금만 뭍혀서 사용해요!! 
용량은 많은데 가격은 저렴해서 좋아요!!",대용량/NNG 원쁠원때/NA 구매/NNG 하/XSV 아서/EC 거의/MAG 다/MAG 쓰/VV 었/EP 어요/EC 엄청/MAG 좋/VA 은/ETM 것/NNB 는/JX 모르/VV 겠/EP 고/EC 그냥/MAG 무난/XR 하/XSA ㄴ데/EC 눈/NNG 에/JKB 많이/MAG 들어가/VV 면/EC 따갑/VA 어요/EF !/SF !/SF ㅜㅜ/NA 그래서/MAJ 조금/NNG 만/JX 뭍/NNG 혀/NNG 서/JKB 사용/NNG 하/XSV 아요/EF !/SF !/SF 용량/NNG 은/JX 많/VA 은데/EC 가격/NNG 은/JX 저렴/XR 하/XSA 아서/EC 좋/VA 아요/EF !/SF !/SF 
핵파워극지성,46,지성,23,2,"눈에 들어가면 따갑구요
잘 지워지지않구요
별로입니다
하필 대용량 사서
아까워서 쓰는중입니다
바닐라코 아이리무버 쓰세요 저도 꾸역꾸역 빨리 써버리고 다시 돌아가렵니다",눈/NNG 에/JKB 들어가/VV 면/EC 따갑/VA 구요/EC 잘/MAG 지우/VV 어/EC 지/VX 지/EC 않/VX 구요/EC 별로/MAG 이/VCP ㅂ니다/EC 하필/MAG 대용량/NNG 사서/NNG 아깝/VA 어서/EC 쓰/VV 는/ETM 중/NNB 이/VCP ㅂ니다/EC 바닐라코/NNP 아이/NNG 리무버/NNG 쓰/VV 시/EP 어요/EC 저/NP 도/JX 꾸역꾸역/MAG 빨리/MAG 쓰/VV 어/EC 버리/VX 고/EC 다시/MAG 돌아가/VV 렵니다/EC 
in4239,77,지성,21,4,"순해서 눈도 안따갑고 잘지워져요!
용량에비해 가격이 비싼편이지만 눈에 들어가도 따갑지않은 리무버는 처음이라 재구매의사가 있는 제품입니다",순/NNG 하/XSV 아서/EC 눈/NNG 도/JX 안/MAG 따갑/VA 고/EC 잘/MAG 지우/VV 어/EC 지/VX 어요/EF !/SF 용량/NNG 에/JKB 비하/VV 아/EC 가격/NNG 이/JKS 비싸/VA ㄴ/ETM 편/NNB 이/VCP 지만/EC 눈/NNG 에/JKB 들어가/VV 아도/EC 따갑/VA 지/EC 않/VX 은/ETM 리무버/NNG 는/JX 처음/NNG 이/VCP 라/EC 재/XPN 구매/NNG 의사/NNG 가/JKS 있/VV 는/ETM 제품/NNG 이/VCP ㅂ니다/EC 
이루비,43,복합성,21,4,짱 좋아요!!  워터프루프 마스카라랑 아이라이너 다 깔끔하게 잘 지워집니다! 가격이랑 양도 괜찮아서 적극 추천합니다! 이 오일로 눈화장 다 지워주고 마지막에 클렌징 티슈로 닦으면 아주 깔끔해집니다! 적극 추천해요!!!!,짱/MAG 좋/VA 아요/EF !/SF !/SF 워터/NNG 프루프/NNP 마스카라/NNG 랑/JKB 아이라이너/NNP 다/MAG 깔끔/XR 하/XSA 게/EC 잘/MAG 지우/VV 어/EC 지/VX ㅂ니다/EF !/SF 가격/NNG 이랑/JC 양도/NNG 괜찮/VA 아서/EC 적극/NNG 추천/NNG 하/XSV ㅂ니다/EF !/SF 이/MM 오일/NNG 로/JKB 눈/NNG 화장/NNG 다/MAG 지우/VV 어/EC 주/VX 고/EC 마지막/NNG 에/JKB 클렌징/NNG 티슈/NNG 로/JKB 닦/VV 으면/EC 아주/MAG 깔끔/XR 하/XSA 아/EC 지/VX ㅂ니다/EF !/SF 적극/NNG 추천/NNG 하/XSV 아요/EF !/SF !/SF !/SF !/SF 
sssssu1,46,건성,23,5,잘지워지고 가격도 나쁘지 않아서 계속사서 쓸것같아요,잘/MAG 지우/VV 어/EC 지/VX 고/EC 가격/NNG 도/JX 나쁘지 않아/NNP 서/JKB 계속/MAG 사/VV 아서/EC 쓰/VV ㄹ/ETM 것/NNB 같/VA 아요/EC 
현정이2,37,지성,23,5,인생 리무버ㅠㅠ 저자극에 잘지워지기까지ㅠㅠ 사랑해요 엉ㅇ엉,인생/NNG 리무버ㅠㅠ/NA 저/XPN 자극/NNG 에/JKB 잘지워지기까지ㅠㅠ/NA 사랑해요/NNP 엉ㅇ엉/NA 
나는용사다,121,복합성,19,4,리무버는 이것만 써요 제일 쉽게 구할수있고 원플원 자주하고 잘지워서 쓰는데 옛날엔 눈에 들어가도 안시려으ㅓㅅㄴ데 요즘 눈 예민한지 들어가면 시려워요,리무버/NNG 는/JX 이것/NP 만/JX 쓰/VV 어요/EC 제일/NNG 쉽/VA 게/EC 구하/VV ㄹ/ETM 수/NNB 있/VX 고/EC 원/NNB 프/VX ㄹ/ETM 원/NNB 자주/MAG 하/XSV 고/EC 잘/MAG 지우/VV 어서/EC 쓰/VV 는데/EC 옛날/NNG 에/JKB ㄴ/JX 눈/NNG 에/JKB 들어가/VV 아도/EC 안시려으ㅓㅅㄴ데/NA 요즘/NNG 눈/NNG 예민/XR 하/XSA ㄴ지/EC 들어가/VV 면/EC 시려워요/NA 
SHahan,42,중성,23,3,딱히 눈 따갑고 그런건 없었지만 너무 뿌얘져서 다시 폰즈로 돌아감 근데 냄새는 진짜 좋음! 따뜻함냄새!!,딱히/MAG 눈/NNG 따갑/VA 고/EC 그런/MM 건/NNB 없/VA 었/EP 지만/EC 너무/MAG 뿌얘져서/NA 다시/MAG 폰즈로/NA 돌아가/VV ㅁ/ETN 근데/MAJ 냄새/NNG 는/JX 진짜/MAG 좋/VA 음/ETN !/SF 따뜻/XR 하/XSA ㅁ/ETN 냄새/NNG !/SF !/SF 
bananajam,29,민감성,22,3,나쁘지 않게 지워져서 떨어지면 종종 사서 쓰고있어요~!조금 문질러줘야 지워진다는 단점이있긴해요..ㅎ,나쁘/VA 지/EC 않/VX 게/EC 지우/VV 어/EC 지/VX 어서/EC 떨어지/VV 면/EC 종종/MAG 사/VV 아서/EC 쓰/VV 고/EC 있/VX 어요/EC ~/SO !/SF 조금/NNG 문지르/VV 어/EC 주/VX 어야/EC 지우/VV 어/EC 지/VX ㄴ다는/ETM 단점이있긴해요..ㅎ/NA 
girrong,43,복합성,26,3,키스미 마스카라 같은 강한 제품은 한번에 지워지지가 않아서 별로 안좋았어요ㅠㅠ,키스/NNG 미/NNG 마스카라/NNG 같/VA 은/ETM 강하/VA ㄴ/ETM 제품/NNG 은/JX 한번/NNG 에/JKB 지우/VV 어/EC 지/VX 지/EC 가/JKS 않/VX 아서/EC 별로/MAG 안좋았어요ㅠㅠ/NA 
한울린,133,민감성,21,2,"5개월?전 쯤에 1+1할 때 사서 지금까지 쓰고 있음.
주의성분 0개라서 괜찮을 줄 알고 급해서 집어서 샀는데 눈에 들어가면 그렇게 따가울 수가 없음ㅠㅠ 참고로 클렌징력은 좋음. 에뛰드 컬픽스랑 페리페라 마스카라 두 개 다 지워졌음! 
오일층이랑 분리되니 흔들어서 사용하기!!

눈에 들어가면 넘나 따가워서 재구매 의사 0%!!",5/SN 개월/NNB ?/SF 전/NNG 쯤/NNB 에/JKB 1/SN +/SW 1/SN 할/NNB 때/NNG 사/VV 아서/EC 지금/NNG 까지/JX 쓰/VV 고/EC 있/VV 음/ETN ./SF 주의/NNG 성분/NNG 0/SN 개/NNB 이/VCP 라서/EC 괜찮/VA 을/ETM 주/VX ㄹ/ETM 알/VV 고/EC 급하/VA 아서/EC 집/VV 어서/EC 사/VV 았/EP 는데/EC 눈/NNG 에/JKB 들어가/VV 면/EC 그렇/VA 게/EC 따갑/VA ㄹ/ETM 수/NNB 가/JKS 없으뮤ㅠ/NA 참고/NNG 로/JKB 클렌징/NNG 력/NNG 은/JX 좋/VA 음/ETN ./SF 에뛰드/NNP 컬/NNG 픽스/NNP 랑/JKB 페리페라/NNP 마스카라/NNG 두/MM 개/NNB 다/MAG 지우/VV 어/EC 지/VX 었/EP 음/ETN !/SF 오일/NNG 층/XSN 이랑/JC 분리/NNG 되/XSV 니/EC 흔들/VV 어서/EC 사용/NNG 하/XSV 기/ETN !/SF !/SF 눈/NNG 에/JKB 들어가/VV 면/EC 넘/VV 나/EC 따갑/VA 어서/EC 재/XPN 구매/NNG 의사/NNG 0/SN %/SW !/SF !/SF 
꺄르륵꺄아,92,중성,23,2,눈에들어가면 너무아파서 사용하다말았어요ㅜㅜ.. 세정력은 중상인데 눈물줄줄흘리면서 써야함,눈/NNG 에/JKB 들어가/VV 면/EC 너무/MAG 아프/VA 아서/EC 사용하다말았어요ㅜㅜ../NA 세/MM 정력/NNG 은/JX 중상/NNG 이/VCP ㄴ데/EC 눈물/NNG 줄줄/MAG 흘리/VV 면서/EC 쓰/VV 어야/EC 하/VX ㅁ/ETN 
브라우니유자차,25,복합성,23,5,눈 따가울까봐 걱정했는데 하나도 없어요~ 클렌징도 잘 되는거같아요ㅎㅎ 원플러스원으로 구매하니 가성비까지~ 좋아요! 행사 자주하니까 그때 구매하시면 좋을거같아용,눈/NNG 따갑/VA ㄹ까/EC 보/VX 아/EC 걱정/NNG 하/XSV 았/EP 는데/EC 하나/NR 도/JX 없/VA 어요/EC ~/SO 클렌징/NNG 도/JX 잘/MAG 되는거같아욯ㅎ/NA 원/NNB 플러스/NNG 원/NNB 으로/JKB 구매/NNG 하/XSV 니/EC 가/XPN 성비/NNG 까지/VV ~/SO 좋/VA 아요/EF !/SF 행사/NNG 자주/MAG 하/XSV 니까/EC 그때/NNG 구매/NNG 하/XSV 시/EP 면/EC 좋/VA 을/ETM 거/NNB 같/VA 아/EC 용/XSN 
mean13,56,지성,22,5,"몇통째 계속 쓰는 립앤아이 오일이에요
마스카라와 픽서도 잘 지워지고 눈에 들어가도 따갑지 않아요",몇/MM 통째/NNG 계속/MAG 쓰/VV 는/ETM 립/NNG 앤/NNG 아이/NNG 오일/NNG 이/VCP 에요/EC 마스카라/NNG 와/JC 픽/MAG 서/JKB 도/JX 잘/MAG 지우/VV 어/EC 지/VX 고/EC 눈/NNG 에/JKB 들어가/VV 아도/EC 따갑/VA 지/EC 않/VX 아요/EC 
꽃꽃다움,40,복합성,29,4,"포인트 메이크업 지우기에 정말 괜찮아요
화장솜에 뭍힌뒤 지울부위에 살짝 올려놓고 십초정도 있다가 지우면 정말 말끔히 지워져요",포인트/NNG 메이크업/NNG 지우/VV 기/ETN 에/JKB 정말/MAG 괜찮/VA 아요/EC 화장/NNG 솜/NNG 에/JKB 뭍힌뒤/NA 지우/VV ㄹ/ETM 부위/NNG 에/JKB 살짝/MAG 올려놓/VV 고/EC 십/NR 초/NNB 정도/NNG 있/VV 다가/EC 지우/VV 면/EC 정말/MAG 말끔히/MAG 지우/VV 어/EC 지/VX 어요/EC 
빠쑝아,26,건성,23,4,"요새 꽂힌 제품
그 전에 어퓨랑 이니슾꺼 쓰다가
이거 한번 써봤는데 맘에 들어서 대용량으로 구매
오일층과 분ㄹㅣ되어서 잘 흔들어줘야함

가끔 눈에 들어가면 따갑긴 하지만
세정력좋고 ㄱㅊ
리무버를 헤프게 써서 마니 쟁여놔야게뚬",요새/NNG 꽂히/VV ㄴ/ETM 제품/NNG 그/MM 전/NNG 에/JKB 어퓨랑/NA 이니슾꺼/NA 쓰/VV 다가/EC 이것/NP 한/MM 번/NNB 쓰/VV 어/EC 보/VX 았/EP 는데/EC 맘/NNG 에/JKB 들/VV 어서/EC 대용량/NNG 으로/JKB 구매/NNG 오일/NNG 층/XSN 과/JC 분리/NNG 되/XSV 어서/EC 잘/MAG 흔들/VV 어/EC 주/VX 어야/EC 하/VX ㅁ/ETN 가끔/MAG 눈/NNG 에/JKB 들어가/VV 면/EC 따갑/VA 기/ETN ㄴ/JX 하/VV 지만/EC 세/MM 정력/NNG 좋/VA 고/EC 헤프/VA 게/EC 쓰/VV 어서/EC 말/VX 니/EC 쟁여놔야게뚬/NA 
