user_id,review_count,skin_type,age,rating,review
썬방,10,민감성,32,4,립앤아이 리무버로 두통째 사용중!! 오일층 섞어 사용하면 잘 지워지고 눈 따갑거나 자극적이지 않아서 좋아요-!!
이하영,143,건성,23,4,"대용량 원쁠원때 구매해서 거의 다 썼어요 엄청 좋은거는 모르겠고 그냥 무난한데 눈에 많이 들어가면 따가워요!! ㅜㅜ 그래서 조금만 뭍혀서 사용해요!! 
용량은 많은데 가격은 저렴해서 좋아요!!"
핵파워극지성,46,지성,23,2,"눈에 들어가면 따갑구요
잘 지워지지않구요
별로입니다
하필 대용량 사서
아까워서 쓰는중입니다
바닐라코 아이리무버 쓰세요 저도 꾸역꾸역 빨리 써버리고 다시 돌아가렵니다"
in4239,77,지성,21,4,"순해서 눈도 안따갑고 잘지워져요!
용량에비해 가격이 비싼편이지만 눈에 들어가도 따갑지않은 리무버는 처음이라 재구매의사가 있는 제품입니다"
이루비,43,복합성,21,4,짱 좋아요!!  워터프루프 마스카라랑 아이라이너 다 깔끔하게 잘 지워집니다! 가격이랑 양도 괜찮아서 적극 추천합니다! 이 오일로 눈화장 다 지워주고 마지막에 클렌징 티슈로 닦으면 아주 깔끔해집니다! 적극 추천해요!!!!
sssssu1,46,건성,23,5,잘지워지고 가격도 나쁘지 않아서 계속사서 쓸것같아요
현정이2,37,지성,23,5,인생 리무버ㅠㅠ 저자극에 잘지워지기까지ㅠㅠ 사랑해요 엉ㅇ엉
나는용사다,121,복합성,19,4,리무버는 이것만 써요 제일 쉽게 구할수있고 원플원 자주하고 잘지워서 쓰는데 옛날엔 눈에 들어가도 안시려으ㅓㅅㄴ데 요즘 눈 예민한지 들어가면 시려워요
SHahan,42,중성,23,3,딱히 눈 따갑고 그런건 없었지만 너무 뿌얘져서 다시 폰즈로 돌아감 근데 냄새는 진짜 좋음! 따뜻함냄새!!
bananajam,29,민감성,22,3,나쁘지 않게 지워져서 떨어지면 종종 사서 쓰고있어요~!조금 문질러줘야 지워진다는 단점이있긴해요..ㅎ
girrong,43,복합성,26,3,키스미 마스카라 같은 강한 제품은 한번에 지워지지가 않아서 별로 안좋았어요ㅠㅠ
한울린,133,민감성,21,2,"5개월?전 쯤에 1+1할 때 사서 지금까지 쓰고 있음.
주의성분 0개라서 괜찮을 줄 알고 급해서 집어서 샀는데 눈에 들어가면 그렇게 따가울 수가 없음ㅠㅠ 참고로 클렌징력은 좋음. 에뛰드 컬픽스랑 페리페라 마스카라 두 개 다 지워졌음! 
오일층이랑 분리되니 흔들어서 사용하기!!

눈에 들어가면 넘나 따가워서 재구매 의사 0%!!"
꺄르륵꺄아,92,중성,23,2,눈에들어가면 너무아파서 사용하다말았어요ㅜㅜ.. 세정력은 중상인데 눈물줄줄흘리면서 써야함
브라우니유자차,25,복합성,23,5,눈 따가울까봐 걱정했는데 하나도 없어요~ 클렌징도 잘 되는거같아요ㅎㅎ 원플러스원으로 구매하니 가성비까지~ 좋아요! 행사 자주하니까 그때 구매하시면 좋을거같아용
mean13,56,지성,22,5,"몇통째 계속 쓰는 립앤아이 오일이에요
마스카라와 픽서도 잘 지워지고 눈에 들어가도 따갑지 않아요"
꽃꽃다움,40,복합성,29,4,"포인트 메이크업 지우기에 정말 괜찮아요
화장솜에 뭍힌뒤 지울부위에 살짝 올려놓고 십초정도 있다가 지우면 정말 말끔히 지워져요"
빠쑝아,26,건성,23,4,"요새 꽂힌 제품
그 전에 어퓨랑 이니슾꺼 쓰다가
이거 한번 써봤는데 맘에 들어서 대용량으로 구매
오일층과 분ㄹㅣ되어서 잘 흔들어줘야함

가끔 눈에 들어가면 따갑긴 하지만
세정력좋고 ㄱㅊ
리무버를 헤프게 써서 마니 쟁여놔야게뚬"
ghkdgpfl66,5,복합성,25,4,깔끔하게 잘 닦이는것 같아요! 한총 다써가는데 단점으로 느끼는 건 앖구 구냥 무난무난해요!
뚜0,7,복합성,20,5,"웬만한 제품은 다 지워지는 것 같아요 
리무버중에서는 이게 최고인 것 같아요ㅠㅠ
여러번 문지를 필요없이 그냥 5초동안 눈 눌렀다가 살살 닦으면 잘 지워져요 !"
leio,32,복합성,19,5,리무버는 이게 짱인것 같아요 ㅠㅠ 정말 너무 좋고 최고입니다...
바균주,57,복합성,22,5,"저는 리무버 여기에 정착했어요!!
아무리 진한 눈화장이라도 다지워져여
이거만 몇통 썼어요~~저는 눈에들어가도 안아팠어요! 이거쓰다 다른리무버쓰면 몇번 더 지워야되서 이거만한 리무버 없는거같아요ㅠㅠ"
김다소,32,복합성,18,5,이번에 1+1하길래 처음으로 사서 쓰고 있는데 쌍액이랑 아이라인까지 잘 지워지고 너무 좋아요 !
u다,31,복합성,23,3,"눈 마스카라까지는 완벽하게 지워지지 않지만!
입술과 아이쉐도우는 잘 지워지는 갓 같음 ㅎㅎ"
사코몽,32,복합성,24,3,딱히 부족함도 엄청난 만족감도 느끼진못했지만 그래도 어느정도의 세정력은 있는 제품입니당
잠이온다zzz,93,복합성,21,3,마스카라까지 싹 잘지워지는건 좋은데 눈시림이 있더라구요 자극적인것같아요ㅜㅜ
쩌라짱,45,건성,28,3,좋은것 같긴한데 눈에 들어가면 아프더라구요ㅜㅜ좀 자극적이긴해요 생각보다
JESY,117,복합성,21,3,1+1할 때 사면 좋아요. 순하지는 않은데 쓸만한 제품. 눈시림을 잘 느끼시는 분들에게는 추천하지 않아요.
silver0_0,23,복합성,23,5,마스카라를 두껍게 하는 편이라 만족하는 리무버를 찾기 쉽지 않았는데 이 리무버만 몇통째 쓰고 있는지 모르겟어요... 다 지워버립니다 최고
냥주,169,민감성,28,4,"이거 진짜 은근 인생템인데 사람들이 몰라준당 ㅇㅅㅇ
용량대비 가격도 무난하고, 뚜껑이 튼튼해서 개인적으로 마음에 듦.
(어퓨 포인트리무버 다들 흔들어 쓰는데 왜 나만 뚜껑 옆으로 줄줄 새요..?ㅠ)
1+1할때 쟁여놓으면 오래 쓸 수 있고 키스미나 페리페라도 한번이면 쓰윽 지워짐"
rtfgesgswr,22,복합성,26,4,"립아이 리무버는 진짜 없어선 안될 필수품이에요~ 
저는 틴트도 많이 사용하다보니 립이 착색 되어서 리무버를 꼭 사용하는데 이 제품은 마음에 들었어요!"
잉우우엉어웅,59,건성,22,5,"아리따움 이벤트 할 때 본품 무료로 받았었어요! 지금 거의 다 썼지만ㅜㅜ 세정력도 괜찮고, 자극적이지도 않고, 눈에 들어가도 거의 아프지 않아서 좋아용"
쟁이이이야,31,복합성,26,3,그냥 막 쓰기 무난한 제품
코덕화덕,24,민감성,18,5,립앤아이리무버에서 1위인 제품이라서 기대하고 사봤는데 역시 기대에 맞아 너무 좋았던 제품 ㅠㅠ❤️❤️❤️ 1+1이나 세일을 많이해서 그럴때 쟁여두면 더 좋은 제품❗️❗️
뇨,49,건성,22,4,별 기대 안 하고 썼는데 의외로 한번에 싹 잘 지워져서 깜짝 놀랐어요 ㅋㅋㅋ 웬만한 제품보다 세정력 좋은 것 같아용
뚬민,21,복합성,22,3,"아주 잘 지워집니다 ㅎ
그러나 어디가 순한건지는 잘 모르겠습니다 ㅎ.. 어떤 부분이..? ㅎ 눈에 들어가면 개아파여 ㅠㅠ

잘 지워지는 것만 보신다면 대용량으로 구매하시길ㅎ.. 그게 더 절약적입니다"
보으니,12,복합성,21,2,"이겅 왜 순하다는지 모르게써여ㅜ-ㅜ
뭐 사람마다 다르다지만
저랑 이모는 이걸루 아이메이컵 지우면 눈이 뜨거워지는 느낌을 받습니당
클렌징은 잘되지만 눈이 넘아파서 재구매 의사는🙅🙅🙅❗"
마이노야,20,중성,17,4,"메이크업을 한 눈과 입술을 자극없이 부드럽게 지울 수 있어서 너무 좋아서 2통째 쓰고 있어요 ~~!! 
지금 쓰고 있는 리무버를 다 사용하면 또 살 수 있는 ? 그런 제품인 것 같아요 ~"
thgeod,21,지성,23,4,이거 도대체 몇통째 쓰는지 몰겠어용 마스카라 아이라인 잘 안지워지는거 쓰는데 이걸로 지우고 세안하면 깨끗하게 다지워져요 조어용
민지공주a,17,민감성,16,5,화장잘지워져요 순한거같아요 ❤️
ㅎㅎ1004,20,복합성,21,4,이거 써보고 순한데 잘지워지고 발효했다니까 뭔가 건강에 좋을것같아서 원쁠원할때 완죤 쟁여두고 잘쓰고 있어용 굿굿~!!
s3939,22,건성,20,4,키스미 리무버 다 썼을 때 세일하길래 구매했는데 마스카라까지 깔끔하게 지워져서 놀랐어요! 세정력 엄청 좋아요 👍🏻 대신 세정력이 좋은 만큼 눈에 들어가면 엄청 따가워요 ㅋㅋㅋ 눈가가 빨갛게 될 때도 있었어요 💦 피부가 많이 예민하다면 약간 자극적일 거 같아요
짜꾸리,31,건성,22,3,정말 순한 제품이에요. 하지만 순한만큼 잘 안 지워지는 제품이기도 해요.
연채연,7,복합성,16,3,잘지워져서 좋은데 눈에 들어가면 좀 따가워요
메롱11,21,지성,31,3,"잘지워지고 저렴해서 팍팍 쓰기좋아요
무난히 쓰기좋아서
쏘쏘네요ㅎㅎ
립앤아이리무버는 딱 좋은게 없는듯
순하게 잘지워지면 장땡"
울류루,23,지성,16,5,예전에 카톡 플친 100원 이벤트할때 아리따움 가서 받아왔는데요 나쁘지 않습니다 아니 실은 좀 조아요ㅠ 이것도 어머니께 조공드린건데 원래 잘 안쓰시다가 몇 번 써보시더니 오 이거 나쁘지않구나 ^^ 하면서 간간히 쓰십니다 그냥 냅두면 서로 뭔가 층이 분리되어있는게 신기하기도 하고 흔들면 뽀오얀으로 바뀌고.. 암튼 굳굳해요
용굥잉,25,민감성,24,4,좋아용ㅎㅎㅎ 근데 눈에 들어가면 따가워요ㅠㅠ 그래두 잘지워지는데!! 세일할때만 사는제품입니당ㅎㅎㅎ
욜로인생,25,복합성,16,4,"나름 순해서 덜 따가운 것 같았고, 잘지워지긴 했어요. 그런데 너무 기름지더라구요.. 뭐 이 부분은 다시 씻음 되니까 크게 신경쓰이는 부분은 아니었어요. 그리고 키스미 마스카라 이걸로 잘지워지더라구용,, 근데 페리페라 틴트는 착색이 좀 남아서 지울 때 입이 얼얼해질만큼 고생을 한 기억이 있어요..ㅜㅜ 그래도 세정력은 나름 좋은 것 같아요."
다솜102,50,중성,17,4,순한건지 지울때 눈에 들어가도 아프지 않음 향도 좋으나 기름이 조금 많은듯
ming밍,28,건성,25,2,아는 언니가 좋다해서 폰즈 쓰다가 행사하길래 대용량으로 두개나 샀는데 같이 쓰는 엄마랑 저랑 눈이 너무 시리고 폰즈보다 잘 안지워져서 하나는 다른사람 주고 산게 아까워서 꾸역꾸역쓰고 있어요. 재구매는 안할거 같네요
야치참채,1,복합성,21,4,"약간 기름진 것 빼고는 세정력이 좋아서 잘 쓰고 있는 제품. 섀도우나 마스카라도 큰 무리없이 잘 지워져서 좋음
다만 지우고 나면 약간 기름기가 남아 있어서 클렌징폼을 사용해서 한번 더 세안함."
미미요요,13,민감성,23,4,순하고 잘 지워짐 다만기름져서 ..ㅎㅎ
프룻,14,지성,19,2,세정력은 좋은데 성분이 조금 별로고 무엇보다 눈에 어쩌다 들어가게되면 미친듯이 따가워서 그다지 쓰고싶지않은 제품... 눈에 들어가도 안따갑고 순하고 세정력좋은 제품이 있기 때문에 재구매의사X
hihij,4,건성,25,3,"전에 세일할때 미리 사왔는데 지워지는건 잘 지워져요~ 
전 솜으로 점막 안 아이라인까지 박박 지우는 타입이라 좀 따갑네요!! 이전에 사용하던 건 안 아팠는데.. 재구매는 안할것같아요ㅠ"
행보크보크,17,지성,28,3,"눈 시리거나 그런건 아닌데
그냥 눈 보면 약간 오일같은 느낌이 남아있다고 해야하나...
그리고 완전 잘 지워지는 것 까지는 아닌 것 같아요! 그냥 1+1으로 할 때 괜찮을듯 해요"
도도피,19,건성,27,5,"가격대비 완전 만족
눈시리지도않고 좋아요"
예닌니잉,37,복합성,22,4,강력한 아이메이크업도 잘 지워져요! 다만 눈에 들어가면 많이 따가워요 자극이 없는 편은 아닌 것 같아요
1997dusl,20,중성,22,4,눈화장 잘 지워져서 계속 이 리무버만 쓰는중이에요
o_12,65,복합성,18,5,순하고 잘 지워져요
ruddms0301,36,민감성,23,5,이거 은근 괜찮음 ㅋㅋㅋㅋㅋㅋ
지짖찌ㅣ찌우,65,건성,22,3,"좋대서 샀는데 잘 모르겠다,,,자극적이고 잘 지워지는 지도 모르겠고,,,,직원 언니가 추천해줘서 샀는데 거짓말쟁이....이제 재구매는 없을 것 같은 제품"
kay0925,37,건성,21,5,가성비 최고!!처음에는 눈에 자꾸 들어가고 찝찝해서 쓰다가 말았었는데 몇주전부터 갑자기 생각나서 다시 써보니 정말 최고에요ㅠㅠ솜에 묻힌뒤 눈에 가만히 대고만 있으면 알아서 녹아 지워지더라구요ㅠㅠㅠ다쓰면 또살거에요ㅠㅠ
trabler,9,복합성,22,5,"화장을 진하게 하지는 않는 편이기에 만족스럽게 사용중이에요
립도 쓱쓱 문지르면 잘 지워져요"
yjslove84,21,건성,35,1,눈따갑고 잘지워지지도 않고 낚였어요 내가 사서 쓴거중에 아주 최악이예요 돈아까워요
언니2,30,지성,26,5,순해욤! 눈 시리지않아요 계속 재구매해서 쓰고있는 제품이에요
쟈쟈쟈쟈쟈쟈쟈쟈쟈,16,복합성,27,4,"가성비 갑 ㅋㅋ 키스미도 지워짐 한때 이것만 썼었쥬.. 지금은 오일로한번에 ㅋㅋㅋ
쟁여놓고쓰기 좋은 아이템"
자이언트양배추,15,복합성,18,5,"지금 이거만 몆통째 쓰고있어요💕💕
눈에 들어가도 안 따갑고 무엇보다도 다 지워버립니다
꼭 사세요!세일기간에 사면 가성비 최고!"
마룬,81,지성,24,4,"만인의 잇템이자 저도 자주 찾는 포인트메이크업 리무버인데요, 순하고, 자극없고, 세정력 좋고, 가격도 세일기간에 구매하면 저렴하게 구매가능하고! 여러모로 만족스러운 제품이예요.

다만 양조절이 저는 좀 힘들더라구요;; 용기가 좀 바뀌었으면 하는 바람이 있어요 ㅎㅎ"
gse07120,52,복합성,19,3,1+1할때 사서 쓰는데 그냥 그저 그래용...
화조,12,지성,16,5,지금 한 3통째 쓰는즁!! 이겅 진찌 조아용 맨날 화장하고 지울때요가 쓴답니당^^
위베베에베베,21,건성,21,3,"아이리무버 입문템..!
무난하지만 가끔 눈이 아플때가 있었다..
그래도 행사할때 사면 싸서
쟁여놓고 쓰기 좋움"
윰꽁,59,복합성,21,4,세일할때 샀는데 눈에 들어가도 그닥 따갑지 않았어요 키스미마스카라도 싹 지워져서 좋은데 펄은 한번에 완벽하게 지워지지는 않아요 잔펄이 남아있어서 그래도 가격대비 만족합니당 그런거외엔 거의 다 지워져요
cym964,21,건성,55,5,"원플러스원이나 오십프로를 자주 해서 가성비 갑
그럼에도 강력하다는 키스미 마스카라까지도 깨끗하게 지워내는 세정력때문에 몇년째 이거만 사용해요"
yanng,23,지성,24,5,사용하면 눈이 좀 뿌옇게 되긴하지만 그래도 아이리무버중에서 세정력이 제일 뛰어난거같네요 잘 안지워지는 키스미마스카라도 쉽게 닦여서 정말 잘 사용하고있습니다
애뿐이뇽ㅇl,336,복합성,28,4,"자극적이지않으면서 지우는 능력은 파워풀함
눈시림이나 자극은 적은편인데 잘지워짐진짜
슬쩍 닦아도 다 닦여나와서 존좋ㅋㅋㅋㅋㅋㅋㅋㅋ"
더위사냥,35,복합성,23,3,"#장점
자극이 적음

#단점
눈에 들어가면 뿌얘짐

다들 좋다는데 잘 모르겠는 제품 그냥 쏘쏘"
클쨩,95,민감성,27,4,"향도 순하고 성분도 순하다 느낌! 여태까지 4통은 비운듯, 근데 눈에 조금이라도 들어가면 정말 오일이 들어간 느낌은 들지만 눈이 안아프므로 굿굿"
스므,148,복합성,34,3,약간 눈이 뿌얘지는 편이지만 그래도 눈시림 적고 순한 편인듯. 용량 대비 싸서 몇년간 쭉 사용중.
서정미인,20,건성,20,4,"그냥 한마디로 안지워진다고 소문난 마스카라 다지워버리는 아이임(키스미,에뛰드마스카라픽서등) 그리고 눈에 들어가도 따가움 1도없음"
지은72,80,민감성,23,3,"알땀 세일 때 원플원이길래 사봤는데 대용량치고 저렴한 가격은 좋으나 엄~~~청 잘 지워진다는 것도 모르겠고 눈에 자극을 느낄 때도 있었다
그리구 눈 위에 올려두면 뿌연 느낌도 있음. ㅠㅠ"
한숑,193,복합성,28,4,"이년 넘게 이것만 쓰다가
다시 이니숲이나 스킨음식 제품들껄로 유목중인데요
제 눈에선 그나마 요게 제일 덜 뿌얘지고 덜 아팠네여ㅠㅠ

용량대비 가격이 좀 쎄고 1+1을 일년에 두번정도밖에 안해서 고민하다 갈아타려는데 진짜 아 제품이 제일 순하다고 느낍니다..
대용량도 있는데 저는 4달정도면 다 써요ㅠ

향도 제 기준 거부감 없었어요
오일 성분이 들어있어 층분리 되어있는 제품이라 약간 미끄덩하게 잔여감이 남긴하는데, 그 오일성분이 없으면 워터프룹 제품들이 잘 안지워지더라고여 (타사 제품중에 그런 제품 있음)

재구매 의사는 있습니다..
유목에 지치면 다시 돌아갈거에요 무조건 ㅠ"
스엉이,44,지성,25,3,전 이제품이 생각보다 잘 안지워졌어요. 특히 키스미마스카라가 지워지긴하는데 다른 제품에 비해서 더 오래 잇어야 지워지고 눈에 들어가면 뿌얗게 기름낀것 같은 느낌이 싫더라구요 ㅠㅠ전 그래서 손레 잘 안가게되는 것 같아요.
Yji2,40,중성,19,4,순하고 잘지워져용
됴용됴용,51,복합성,22,4,거의 3년째 사용하고 있는 제품입니다ㅎㅎ 잘 지워지고 가격도 적당해서 꼭 사게 되는 것 같아요! 추천!
wohesu,40,민감성,26,4,"리무버 중에는 추천드리고싶은 제품!
올리브영에서 할인행사 하는 제품 써봤는데 너무 안지워져서 이 제품으로 바꾸고나서 진짜 쉽게 지우고있어요!!ㅋㅋㅋ
근데 사용전에 꼭 흔들어서 써야한다는점!!"
윤ing,74,건성,23,5,자극없이 잘 지워져요!!^^여기서보고 샀는데 가격대비 만족합니당ㅎ
이승민,22,건성,20,5,지금까지 쓴 리무버 중 가장 잘 썼어요 눈에 들어가도 별로 안 아프고 세정이 잘 안되는 키스미도 잘 지워졌습니다 지금은 다른 제품 쓰고 있는데 다시 돌아갈 예정
욤공,56,복합성,20,3,정말 딱 무난한 제품인 것 같아요 잘 지워지기도 하고 순해서 눈주위 피부가 예민한 저도 별다른 자극 없이 잘 사용했어요 그렇지만 눈 화장을 지우다보면 조금이라도 눈에 들어갈 수 밖에 없는데 눈에 들어가면 앞이 뿌옇게 보이고 찝찝했었어요 기름기도 느껴지고.. 그래서 그냥저냥 사용했던 제품이에요
꾸우뭉,12,지성,16,3,진짜 잘지워져요 립앤아이리무버의 가장 큰 존재 이유를 잘 충족시켜 줍니다 네이처 리무버 쓰다 이걸로 갈아탔는데 키스미 마스카라도 잘 지워져서 놀랐어요... 원래 일반적 립앤아이리무버로는 잘 안 지워지는 줄 알았거든요 근데 별이 깎인 이유는 한번 눈에 들어가면 따갑진 않은데 눈 앞이 흐릿흐릿해져서 보이질 않아요 그리고 순하단 느낌은 안들었으니까 눈 민감하신 분들은 추천은 못드릴 것 같아요...
일둥,13,건성,23,4,자극이 없고 부드럽게 지워지는 것이 장점 !! 가성비 좋은 제품리러 여러 통 써봤지만 세정력이 부족한 것 같아요ㅠㅠ !워터프루프 마스카라나 립착색은 두 세번 해도 말끔히 잘 안지워집니다ㅠㅠ
CIELA,58,건성,25,2,"잘 지워지긴 합니다. 화장솜에 덜어서 조금 눌렀다가 슬라이딩하면 한번에 싹 지워져요.
그러나 너무나도 자극적이네요.. 지울 때 마다 눈도 엄청 시리고 뿌옇게 보여요. 입술도 지우니까 엄청 따갑고 저릿저릿하네요. 더는 못쓰겠어서 버렸습니다."
쿠코콩,43,건성,27,4,세일할때 몇통씩 사둬요. 잘 지워지고 순해요. 인생템입니다
경표수니,72,민감성,24,3,잘지워지는데 장님됨
isulbi,54,복합성,32,4,"메이크업을 진하게 하는편은 아닌데 깨끗하게 지우기위해서 립과 아이메이크업을 꼼꼼히지우는데요
자극없어 한번에 잘 지워지는 것 같아요 
향도 은은한 파우더향이라 순한것 같아요 좋아요"
참치먹는참초,244,민감성,26,5,"키스미도 잘 지워지고 깔끔해서 좋음
눈에 들어가도 따갑지도 않음
지금 3통째 쓰고있는데 앞으로도 롱런할꺼임"
쪼롱나라,25,건성,39,5,립아이 리무버로는 얘만한게 없는것 같아요 순해서 눈에해도 안따갑고 잘지워집니다 용량도 이정도면적당하고 가격도 적당해요
AIWD,90,민감성,22,5,키스미 마스카라 등 모든 색조 아이템을 순하고 빠르게 지워줘서 3통째 쓴다. 정말 뽀오오오오얀 이름에 맞게 순하지만 가격이 조금 사악함
카라마츠아내,204,복합성,17,5,내가 지금까지 써왔던 리무버들은 하나같이 화장을 지우고 나서도 너무 과한 오일느낌이 나서 피부가 막히는 느낌이 들었는데 이건 키스미 마스카라도 잘 지워주는데 자극도 타 제품에 비하면 적어서 너무 마음에 들어요! 세일할 때마다 이제 쟁여둬야겠어요 여러개 사둘껄 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ😂😂😂😂😂
뜨개노리,20,중성,40,4,가격이 살짝 비싸긴하지만 자극없이 잘 지워집니다. 자극적인 향기도 없고 순하게~~~ 잘 지워지는 제품. 세일할때 여러병 쟁여서 몇 통을 사용했는지 모를 정도네요 ㅎㅎㅎㅎ
jaehee81,31,복합성,24,4,잘지워져서 좋아요ㅎㅎㅎ세일할때 항상 쟁여나요ㅎㅎ
흑꼭두장군,14,복합성,31,1,여러 아이리무버를 써봤지만 눈이 시리다는 것을 처음 느끼게 해준 제품이다. 눈이 시려우니 눈 뜨고 메이크업이 얼마나 지워졌는지 가늠도 어려워 깨끗한 세정력을 기대하기 어려웠다. 나에겐 무척 자극적인 제품이었다.
두부가조타,129,건성,25,4,기억에 안 남는거보니 무난무난하게 잘 썼었던거 같다.
dels,89,건성,29,2,종종사기는 하지만... 순한건 알겠는데. 잘 지워지는건 모르겠음. 왜이렇게 순위가 높지
샤우러,49,건성,20,3,음 가끔 양을 잘못해서 많이 하면 눈이 따갑고 아파요 지워지는 것도 제가 잘 못지워서인지 아니면 원래 잘 안 지워지는 건지 모르겠지만 그냥 그저로 지워져요
귀분,53,복합성,29,3,"1+1 행사 때 쟁여두고 오래 쓰는 중인데 질려서 바꾸고 싶다ㅠㅠ
눈에 들어갔을 때 살짝 따가운 감이 있지만 세정력은 괜찮은 듯
예전엔 핫템이었는데 순위가 많이 내려갔구나"
@오키,26,복합성,26,4,"아이메이크업 잘지워지고 좋음
눈에들어가면 따가운느낌있음"
브엙,23,지성,16,4,생각보다 괜찮아요!!
imjinly,55,복합성,24,2,저는 이거 사용할때마다 눈이 뿌옇게 돼서 너무 싫었어요ㅠ 지워지긴 잘 지워져요ㅠ
스꽃,43,민감성,25,4,세일할때 쟁여두면 굿!!! 가격대비 순하고 성능좋은 제품. 이거로 아이메이크업 지우면 눈이 많이 안 따가움.
jdgh,61,복합성,20,3,너무 기름진거 빼면 좋아요 잘지워지고
이밝음츄,91,복합성,25,5,성분이 나쁘다고 들었는데 왜 저한테 찰떡인지 ㅠㅠ 강력한 마스카라도 잘 지워져요 지금 몇번째 돌아와써요 ㅠㅠ 심지어 쟁여놓은것도 있음
